iso3,country_plan_name,year,plan_type,overlooked_crisis_index,severity_score,funding_gap_score,scale_score,pooled_gap_score,vulnerability_score,crisis_status,data_completeness,total_people_in_need,total_people_targeted,total_people_reached,total_people_affected,total_population,crisis_severity_pct,affected_population_pct,num_clusters,num_subnational_regions,clusters,children_in_need,female_in_need,male_in_need,elderly_in_need,idp_in_need,returnee_in_need,host_community_in_need,refugee_in_need,children_vulnerability_pct,elderly_vulnerability_pct,female_vulnerability_pct,idp_pct,returnee_pct,refugee_pct,total_funding_usd,total_requirements_usd,funding_gap_usd,funding_coverage_pct,min_funding_coverage_pct,max_funding_coverage_pct,funding_gap_per_person_usd,num_response_plans,num_flash_appeals,num_regional_plans,plan_types,original_requirements_usd,revised_requirements_usd,requirements_change_usd,requirements_change_pct,requirements_revision_ratio,pooled_funding_usd,num_pooled_projects,pooled_coverage_pct,pooled_funding_gap_usd,reserve_projects,standard_projects,reserve_funding_usd,standard_funding_usd,reserve_allocation_pct,targeting_efficiency_pct,reach_efficiency_pct,cost_per_beneficiary_usd,beneficiaries_per_dollar,beneficiaries_per_dollar_pooled,avg_project_budget_usd,min_project_budget_usd,max_project_budget_usd,project_budget_variability,is_cost_anomaly,is_efficiency_anomaly,is_project_size_anomaly,is_severely_underfunded,has_major_requirement_increase,cost_zscore,efficiency_zscore,project_size_zscore,benchmark_cost_per_beneficiary,benchmark_beneficiaries_per_dollar,benchmark_project_size,benchmark_funding_coverage_pct,benchmark_pooled_coverage_pct,num_admin_regions,census_year,num_funding_plans,female_population,male_population,child_population,elderly_population,funding_millions_usd,requirements_millions_usd,gap_millions_usd,pooled_gap_millions_usd,requirements_change_millions_usd
MMR,Myanmar Humanitarian Needs and Response Plan 2026,2026,Humanitarian needs and response plan,531.37,4.59,93.01,3.84,100,3274.65,CRITICAL - Severely Overlooked,Complete - Has HNO Data,1957173,1132893,1000000,null,57000000,3.43,null,10,18,"[""WSH"",""HEA"",""SHL"",""NUT"",""PRO-GBV"",""EDU"",""PRO-MIN"",""PRO"",""FSC"",""PRO-CPN""]",101360694,131928780,null,25783363,75240022,7632538,161245847,null,5178.93,1317.38,6740.78,3844.32,389.98,null,62180097,889600798,827420701,6.99,7,7,422.76,21,1,0,"[""HRP"",""Flash Appeal"",""Other""]",9751576676,8301833520,-1449743156,16.22,0.85,0,0,0,889600798,0,0,0,0,null,57.88,88.27,54.89,0.02,null,null,null,null,null,false,false,false,true,false,-0.37,-0.36,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,62.18,889.6,827.42,889.6,-1449.74
MMR,Myanmar Original Humanitarian Needs and Response Plan 2025,2025,Humanitarian needs and response plan,525.47,4.59,70.97,3.84,97.45,3274.65,CRITICAL - Severely Overlooked,Complete - Has HNO Data,1957173,1132893,1000000,null,57000000,3.43,null,10,18,"[""WSH"",""HEA"",""SHL"",""NUT"",""PRO-GBV"",""EDU"",""PRO-MIN"",""PRO"",""FSC"",""PRO-CPN""]",101360694,131928780,null,25783363,75240022,7632538,161245847,null,5178.93,1317.38,6740.78,3844.32,389.98,null,410241413,1412961603,1002720190,29.03,18,76,512.33,21,1,0,"[""HRP"",""Flash Appeal"",""Other""]",9751576676,8301833520,-1449743156,16.22,0.85,36000000,3,2.55,1376961603,1,2,5000000,31000000,13.89,57.88,88.27,362.12,0,0.03,12000000,5000000,20000000,0.6292,true,false,false,false,false,3.16,-0.75,0.42,87.23,0.03,8378713.62,30.61,0.67,null,null,2,null,null,null,null,410.24,1412.96,1002.72,1376.96,-1449.74
MMR,Myanmar Humanitarian Needs and Response Plan 2024,2024,Humanitarian needs and response plan,522.99,4.59,59.49,3.84,100,3274.65,CRITICAL - Severely Overlooked,Complete - Has HNO Data,1957173,1132893,1000000,null,57000000,3.43,null,10,18,"[""WSH"",""HEA"",""SHL"",""NUT"",""PRO-GBV"",""EDU"",""PRO-MIN"",""PRO"",""FSC"",""PRO-CPN""]",101360694,131928780,null,25783363,75240022,7632538,161245847,null,5178.93,1317.38,6740.78,3844.32,389.98,null,402441771,993548103,591106332,40.51,41,41,302.02,21,1,0,"[""HRP"",""Flash Appeal"",""Other""]",9751576676,8301833520,-1449743156,16.22,0.85,0,0,0,993548103,0,0,0,0,null,57.88,88.27,355.23,0,null,null,null,null,null,true,false,false,false,false,3.08,-0.75,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,402.44,993.55,591.11,993.55,-1449.74
CHL,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2026,2026,Regional response plan,99.72,0,99.6,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,79314252,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,181687,45685835,45504148,0.4,0,0,null,9,0,8,"[""Other"",""Regional Response""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,45685835,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,16,2022,1,20091170,19565956,9942906,7197108,0.18,45.69,45.5,45.69,836.81
AGO,Democratic Republic of the Congo Regional Refugee Response Plan 2024,2024,Regional response plan,99.68,0,99.54,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,148821496,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,95615,20646267,20550652,0.46,0,0,null,15,1,6,"[""Other"",""Flash Appeal"",""Regional Response""]",7167563537,5763216036,-1404347501,-9.27,0.8,0,0,0,20646267,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,18,2024,1,38015214,36395534,43097708,2885300,0.1,20.65,20.55,20.65,-1404.35
GUY,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2025,2025,Regional response plan,99.22,0,98.88,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,3024948,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110279,9886876,9776597,1.12,1,1,null,10,1,8,"[""Flash Appeal"",""Regional Response"",""Other""]",9998155563,10834557532,836401969,-14.23,1.08,0,0,0,9886876,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,10,2021,1,750430,762044,505670,167802,0.11,9.89,9.78,9.89,836.4
TTO,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2026,2026,Regional response plan,99.19,0,98.85,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,5310784,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,65881,5712000,5646119,1.15,1,1,null,9,0,8,"[""Regional Response"",""Other""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,5712000,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,15,2011,1,1323337,1332055,743236,355174,0.07,5.71,5.65,5.71,836.81
BGD,Rohingya Humanitarian Crisis Joint Response Plan 2026,2026,Regional response plan,99.17,0,98.82,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,662601900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8239389,698375266,690135877,1.18,1,1,null,17,1,10,"[""Regional Response"",""Other"",""Flash Appeal""]",10420599441,9898953129,-521646312,31.35,0.95,0,0,0,698375266,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,8,2022,1,168658468,162642482,113903114,35742372,8.24,698.38,690.14,698.38,-521.65
URY,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2025,2025,Regional response plan,98.91,0,98.44,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,14265627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,153600,9861588,9707988,1.56,2,2,null,9,0,8,"[""Other"",""Regional Response""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,9861588,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,19,2023,1,3671007,3461712,1854422,1466669,0.15,9.86,9.71,9.86,836.81
CUW,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2025,2025,Regional response plan,98.87,0,98.38,0,100,0,CRITICAL - Severely Overlooked,Partial - Funding Data Only,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76392,4720075,4643683,1.62,2,2,null,9,0,8,"[""Other"",""Regional Response""]",9995180563,10831995140,836814577,-14.29,1.08,0,0,0,4720075,0,0,0,0,null,null,null,null,null,null,null,null,null,null,false,false,false,true,false,null,null,null,87.23,0.03,8378713.62,30.61,0.67,null,null,1,null,null,null,null,0.08,4.72,4.64,4.72,836.81
